Complex,logFC,AveExpr,t,P.Value,adj.P.Val,B,Lineage
ATAC,0.04595554278193685,0.2862401943992777,0.8083647041382954,0.41906069214834785,0.7207843904951583,-5.576781952667524,Ampullary Carcinoma
BAF (canonical/cBAF),-0.013576646410629438,0.28103164933152663,-0.38122708466835054,0.7031105659310958,0.9267983728894058,-5.8114633862007254,Ampullary Carcinoma
BCOR complex,0.032677419016514955,0.07688398925835595,1.280516685080535,0.20064145019450247,0.5276491818009996,-5.121603620742358,Ampullary Carcinoma
BRCA1-A,-0.01033349350726725,0.23973389480036114,-0.21314200356448917,0.8312568820046798,0.9500752172199124,-5.857619718958765,Ampullary Carcinoma
CAF-1,0.020445114183008387,0.9690249844625101,0.9179492889333052,0.35885262486181924,0.6868569732794229,-5.489438698404646,Ampullary Carcinoma
CHRAC,0.18465354150287344,0.26206692106594376,3.043273260405963,0.0023974260785396997,0.10308932137720708,-1.619204152111994,Ampullary Carcinoma
DAXX-ATRX,0.03494838915165775,0.25018074947967495,0.38400389469595836,0.7010520002382685,0.9267983728894058,-5.810481712613874,Ampullary Carcinoma
DNMT1-UHRF1,0.21348304308196556,0.7253934436802176,2.14366632658367,0.032284951915767,0.23137548872966354,-3.7602594805168206,Ampullary Carcinoma
Elongator,-0.001471628620135747,0.7476231388617897,-0.018262069913276932,0.985433197334076,0.985433197334076,-5.878455792425167,Ampullary Carcinoma
FACT,0.0111467356147502,0.9846571827461597,0.7527320574157313,0.4517767878170664,0.7416719497563472,-5.616885306812782,Ampullary Carcinoma
G9a/GLP,0.09009566001979613,0.1813339326617885,1.2581694245971224,0.20860549047946497,0.5276491818009996,-5.147774341702404,Ampullary Carcinoma
HAT1 complex,-0.0019878283670247093,0.5070069141011739,-0.05574759038504591,0.955553312111856,0.985433197334076,-5.877173937444358,Ampullary Carcinoma
HBO1,0.05717441555352347,0.1272006936982836,1.7475768468280128,0.08082465694781729,0.38345199959262677,-4.469669791059933,Ampullary Carcinoma
HIRA,0.09844849552689253,0.42351438993766954,1.5198162391731456,0.1288531504984421,0.4617237892860842,-4.812591569730091,Ampullary Carcinoma
INO80,0.013649366077223623,0.6562516235772355,0.262344828362129,0.7931061982765266,0.9500752172199124,-5.84681057518418,Ampullary Carcinoma
LSD1-CoREST,0.006632498647455182,0.15410883043179746,0.1579637859486823,0.8745151966157305,0.9583194528707653,-5.867080734691814,Ampullary Carcinoma
MLL1/MLL2 (KMT2A/KMT2B),0.12750708724557736,0.4921214235772354,2.3698144190029944,0.017973962883064135,0.15457608079435156,-3.2910555086341033,Ampullary Carcinoma
MLL3/MLL4 (KMT2C/KMT2D),0.009636031904289034,0.3775775624299912,0.20245274860012047,0.8396013547524808,0.9500752172199124,-5.859672233998188,Ampullary Carcinoma
MOZ/MORF,0.09764014160193454,0.1292105213351399,2.5208884710626185,0.01185060056836892,0.15457608079435156,-2.9517147046103154,Ampullary Carcinoma
