CellLine,Lineage
ACH-000991,Colorectal Adenocarcinoma
ACH-000993,Endometrial Carcinoma
ACH-000994,Endometrial Carcinoma
ACH-000995,T-Lymphoblastic Leukemia/Lymphoma
ACH-000996,Endometrial Carcinoma
ACH-000997,Colorectal Adenocarcinoma
ACH-001001,Osteosarcoma
ACH-001016,Diffuse Glioma
ACH-001020,Embryonal Tumor
ACH-001028,Embryonal Tumor
ACH-001029,Ewing Sarcoma
ACH-001031,Embryonal Tumor
ACH-001033,Embryonal Tumor
ACH-001036,Acute Myeloid Leukemia
ACH-001038,Ewing Sarcoma
ACH-001039,Colorectal Adenocarcinoma
ACH-001041,Melanoma
ACH-001048,Ovarian Epithelial Tumor
ACH-001050,Rhabdomyosarcoma
ACH-001053,Embryonal Tumor
ACH-001054,Embryonal Tumor
ACH-001061,Colorectal Adenocarcinoma
ACH-001065,Invasive Breast Carcinoma
ACH-001075,Non-Small Cell Lung Cancer
ACH-001081,Colorectal Adenocarcinoma
ACH-001096,Rhabdomyosarcoma
ACH-001098,Pancreatic Adenocarcinoma
ACH-001099,Rhabdoid Cancer
ACH-001107,Pancreatic Adenocarcinoma
ACH-001111,Mature T and NK Neoplasms
ACH-001119,Mature T and NK Neoplasms
ACH-001126,Diffuse Glioma
ACH-001128,Rhabdoid Cancer
ACH-001129,Acute Myeloid Leukemia
ACH-001134,Non-Hodgkin Lymphoma
ACH-001137,Non-Small Cell Lung Cancer
ACH-001145,Ovarian Epithelial Tumor
ACH-001151,Ovarian Epithelial Tumor
ACH-001163,Renal Cell Carcinoma
ACH-001164,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-001172,Diffuse Glioma
ACH-001183,Bladder Urothelial Carcinoma
ACH-001184,Rhabdomyosarcoma
ACH-001188,Neuroblastoma
ACH-001190,Melanoma
ACH-001192,Ewing Sarcoma
ACH-001193,Ewing Sarcoma
ACH-001194,Renal Cell Carcinoma
ACH-001196,Rhabdomyosarcoma
ACH-001197,Non-Hodgkin Lymphoma
ACH-001205,Ewing Sarcoma
ACH-001211,Rhabdoid Cancer
ACH-001227,Head and Neck Squamous Cell Carcinoma
ACH-001228,Head and Neck Squamous Cell Carcinoma
ACH-001229,Head and Neck Squamous Cell Carcinoma
ACH-001232,Embryonal Tumor
ACH-001233,Non-Small Cell Lung Cancer
ACH-001239,Melanoma
ACH-001270,Synovial Sarcoma
ACH-001274,Synovial Sarcoma
ACH-001275,Osteosarcoma
ACH-001277,Synovial Sarcoma
ACH-001278,Ovarian Epithelial Tumor
ACH-001279,Ovarian Epithelial Tumor
ACH-001280,Synovial Sarcoma
ACH-001283,Ewing Sarcoma
ACH-001289,Embryonal Tumor
ACH-001300,Neuroblastoma
ACH-001301,Neuroblastoma
ACH-001302,Neuroblastoma
ACH-001303,Neuroblastoma
ACH-001306,Anaplastic Thyroid Cancer
ACH-001307,Anaplastic Thyroid Cancer
ACH-001318,Hepatocellular Carcinoma
ACH-001322,Synovial Sarcoma
ACH-001328,Cutaneous Squamous Cell Carcinoma
ACH-001329,Diffuse Glioma
ACH-001331,Head and Neck Squamous Cell Carcinoma
ACH-001332,Head and Neck Squamous Cell Carcinoma
ACH-001333,Cervical Squamous Cell Carcinoma
ACH-001334,Cervical Squamous Cell Carcinoma
ACH-001335,Cervical Squamous Cell Carcinoma
ACH-001336,Cervical Squamous Cell Carcinoma
ACH-001338,Neuroblastoma
ACH-001340,Ovarian Epithelial Tumor
ACH-001344,Neuroblastoma
ACH-001345,Colorectal Adenocarcinoma
ACH-001346,Head and Neck Squamous Cell Carcinoma
ACH-001347,Head and Neck Squamous Cell Carcinoma
ACH-001353,Pancreatic Adenocarcinoma
ACH-001354,Neuroblastoma
ACH-001356,Anaplastic Thyroid Cancer
ACH-001360,Cervical Squamous Cell Carcinoma
ACH-001366,Neuroblastoma
ACH-001367,Neuroblastoma
ACH-001368,Esophagogastric Adenocarcinoma
ACH-001370,Ovarian Epithelial Tumor
ACH-001375,Pancreatic Adenocarcinoma
ACH-001376,Pancreatic Adenocarcinoma
ACH-001377,Pancreatic Adenocarcinoma
ACH-001379,Pancreatic Adenocarcinoma
ACH-001380,Pancreatic Adenocarcinoma
ACH-001382,Pancreatic Adenocarcinoma
ACH-001386,Lung Neuroendocrine Tumor
ACH-001388,Invasive Breast Carcinoma
ACH-001389,Invasive Breast Carcinoma
ACH-001390,Invasive Breast Carcinoma
ACH-001391,Invasive Breast Carcinoma
ACH-001392,Invasive Breast Carcinoma
ACH-001393,Invasive Breast Carcinoma
ACH-001394,Invasive Breast Carcinoma
ACH-001396,Invasive Breast Carcinoma
ACH-001398,Renal Cell Carcinoma
ACH-001399,Colorectal Adenocarcinoma
ACH-001402,Cervical Squamous Cell Carcinoma
ACH-001403,Ovarian Epithelial Tumor
ACH-001407,Bladder Urothelial Carcinoma
ACH-001409,Bladder Urothelial Carcinoma
ACH-001412,Bladder Urothelial Carcinoma
ACH-001413,Bladder Urothelial Carcinoma
ACH-001414,Bladder Urothelial Carcinoma
ACH-001415,Bladder Urothelial Carcinoma
ACH-001416,Bladder Urothelial Carcinoma
ACH-001418,Ovarian Epithelial Tumor
ACH-001419,Invasive Breast Carcinoma
ACH-001430,Ewing Sarcoma
ACH-001431,Ewing Sarcoma
ACH-001436,Non-Seminomatous Germ Cell Tumor
ACH-001442,Cutaneous Squamous Cell Carcinoma
ACH-001443,Anaplastic Thyroid Cancer
ACH-001450,Mature B-Cell Neoplasms
ACH-001451,Cervical Squamous Cell Carcinoma
ACH-001454,Colorectal Adenocarcinoma
ACH-001458,Colorectal Adenocarcinoma
ACH-001459,Colorectal Adenocarcinoma
ACH-001460,Colorectal Adenocarcinoma
ACH-001461,Colorectal Adenocarcinoma
ACH-001481,Neuroblastoma
ACH-001484,Mature B-Cell Neoplasms
ACH-001494,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001495,Endometrial Carcinoma
ACH-001496,Esophagogastric Adenocarcinoma
ACH-001497,Esophagogastric Adenocarcinoma
ACH-001498,Mature B-Cell Neoplasms
ACH-001500,Esophagogastric Adenocarcinoma
ACH-001502,Non-Seminomatous Germ Cell Tumor
ACH-001508,Head and Neck Squamous Cell Carcinoma
ACH-001509,Head and Neck Squamous Cell Carcinoma
ACH-001510,Head and Neck Squamous Cell Carcinoma
ACH-001511,Head and Neck Squamous Cell Carcinoma
ACH-001515,Cervical Squamous Cell Carcinoma
ACH-001517,Endometrial Carcinoma
ACH-001518,Endometrial Carcinoma
ACH-001521,Cutaneous Squamous Cell Carcinoma
ACH-001522,Melanoma
ACH-001523,Cutaneous Squamous Cell Carcinoma
ACH-001524,Cutaneous Squamous Cell Carcinoma
ACH-001526,Osteosarcoma
ACH-001532,Rhabdoid Cancer
ACH-001533,Mature B-Cell Neoplasms
ACH-001536,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001538,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001539,Mature B-Cell Neoplasms
ACH-001542,Head and Neck Squamous Cell Carcinoma
ACH-001543,Head and Neck Squamous Cell Carcinoma
ACH-001544,Esophagogastric Adenocarcinoma
ACH-001547,Pleural Mesothelioma
ACH-001548,Neuroblastoma
ACH-001549,Lung Neuroendocrine Tumor
ACH-001554,Ocular Melanoma
ACH-001555,Pleural Mesothelioma
ACH-001556,Pleural Mesothelioma
ACH-001557,Pleural Mesothelioma
ACH-001558,Pleural Mesothelioma
ACH-001559,Pleural Mesothelioma
ACH-001560,Pleural Mesothelioma
ACH-001562,Pleural Mesothelioma
ACH-001563,Melanoma
ACH-001566,Melanoma
ACH-001567,Melanoma
ACH-001568,Melanoma
ACH-001570,Melanoma
ACH-001574,Acute Myeloid Leukemia
ACH-001577,Acute Myeloid Leukemia
ACH-001578,Non-Seminomatous Germ Cell Tumor
ACH-001603,Neuroblastoma
ACH-001605,Diffuse Glioma
ACH-001606,Diffuse Glioma
ACH-001607,Intracholecystic Papillary Neoplasm
ACH-001608,Diffuse Glioma
ACH-001609,Diffuse Glioma
ACH-001610,Diffuse Glioma
ACH-001611,Diffuse Glioma
ACH-001613,Acute Myeloid Leukemia
ACH-001616,Mature B-Cell Neoplasms
ACH-001618,Acute Myeloid Leukemia
ACH-001619,Intracholecystic Papillary Neoplasm
ACH-001622,Diffuse Glioma
ACH-001623,Diffuse Glioma
ACH-001624,Diffuse Glioma
ACH-001625,Head and Neck Squamous Cell Carcinoma
ACH-001626,Head and Neck Squamous Cell Carcinoma
ACH-001628,Ovarian Epithelial Tumor
ACH-001630,Ovarian Epithelial Tumor
ACH-001632,Ovarian Epithelial Tumor
ACH-001634,Mature B-Cell Neoplasms
ACH-001639,Mature B-Cell Neoplasms
ACH-001641,Head and Neck Squamous Cell Carcinoma
ACH-001642,Non-Hodgkin Lymphoma
ACH-001643,Ewing Sarcoma
ACH-001645,Melanoma
ACH-001647,Acute Myeloid Leukemia
ACH-001651,Cervical Squamous Cell Carcinoma
ACH-001652,Cervical Squamous Cell Carcinoma
ACH-001653,Esophagogastric Adenocarcinoma
ACH-001654,Esophagogastric Adenocarcinoma
ACH-001656,Acute Myeloid Leukemia
ACH-001662,Invasive Breast Carcinoma
ACH-001664,Esophagogastric Adenocarcinoma
ACH-001668,Non-Seminomatous Germ Cell Tumor
ACH-001669,B-Cell Acute Lymphoblastic Leukemia
ACH-001670,Embryonal Tumor
ACH-001673,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001674,Neuroblastoma
ACH-001675,Head and Neck Squamous Cell Carcinoma
ACH-001677,Mature B-Cell Neoplasms
ACH-001683,Invasive Breast Carcinoma
ACH-001687,Renal Cell Carcinoma
ACH-001688,Renal Cell Carcinoma
ACH-001690,Head and Neck Squamous Cell Carcinoma
ACH-001691,Head and Neck Squamous Cell Carcinoma
ACH-001692,Head and Neck Squamous Cell Carcinoma
ACH-001694,Head and Neck Squamous Cell Carcinoma
ACH-001695,Head and Neck Squamous Cell Carcinoma
ACH-001696,Head and Neck Squamous Cell Carcinoma
ACH-001698,Head and Neck Squamous Cell Carcinoma
ACH-001699,Head and Neck Squamous Cell Carcinoma
ACH-001701,Head and Neck Squamous Cell Carcinoma
ACH-001707,Mature B-Cell Neoplasms
ACH-001709,Mature B-Cell Neoplasms
ACH-001711,Embryonal Tumor
ACH-001715,Osteosarcoma
ACH-001719,Ovarian Epithelial Tumor
ACH-001735,B-Cell Acute Lymphoblastic Leukemia
ACH-001736,B-Cell Acute Lymphoblastic Leukemia
ACH-001737,T-Lymphoblastic Leukemia/Lymphoma
ACH-001740,Rhabdomyosarcoma
ACH-001745,Rhabdomyosarcoma
ACH-001750,Rhabdomyosarcoma
ACH-001765,Rhabdomyosarcoma
ACH-001786,Colorectal Adenocarcinoma
ACH-001791,Liposarcoma
ACH-001793,Liposarcoma
ACH-001794,Liposarcoma
ACH-001795,Liposarcoma
ACH-001796,Liposarcoma
ACH-001799,Liposarcoma
ACH-001802,Liposarcoma
ACH-001804,Liposarcoma
ACH-001814,Osteosarcoma
ACH-001819,Invasive Breast Carcinoma
ACH-001834,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001835,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001836,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001838,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001839,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001841,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001842,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001843,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001844,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001848,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001849,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001850,Intracholecystic Papillary Neoplasm
ACH-001852,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001856,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001857,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001858,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001861,Intracholecystic Papillary Neoplasm
ACH-001862,Ampullary Carcinoma
ACH-001863,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001864,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001959,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001960,Intraductal Papillary Neoplasm of the Bile Duct
ACH-001961,Intracholecystic Papillary Neoplasm
ACH-001970,Melanoma
ACH-001972,Melanoma
ACH-001973,Melanoma
ACH-001975,Melanoma
ACH-001977,Pleural Mesothelioma
ACH-001982,Melanoma
ACH-001986,Melanoma
ACH-001990,Melanoma
ACH-001991,Ovarian Epithelial Tumor
ACH-001992,Pleural Mesothelioma
ACH-001993,B-Cell Acute Lymphoblastic Leukemia
ACH-001997,Ampullary Carcinoma
ACH-001999,Pancreatic Adenocarcinoma
ACH-002001,Melanoma
ACH-002002,Melanoma
ACH-002003,Melanoma
ACH-002004,Melanoma
ACH-002005,Melanoma
ACH-002014,Ocular Melanoma
ACH-002015,Ocular Melanoma
ACH-002016,Ocular Melanoma
ACH-002018,Ocular Melanoma
ACH-002020,Cervical Squamous Cell Carcinoma
ACH-002023,Ampullary Carcinoma
ACH-002024,Colorectal Adenocarcinoma
ACH-002025,Colorectal Adenocarcinoma
ACH-002026,Endometrial Carcinoma
ACH-002027,Endometrial Carcinoma
ACH-002029,Head and Neck Squamous Cell Carcinoma
ACH-002030,Head and Neck Squamous Cell Carcinoma
ACH-002033,Pleural Mesothelioma
ACH-002035,Non-Small Cell Lung Cancer
ACH-002039,Pancreatic Adenocarcinoma
ACH-002041,Anaplastic Thyroid Cancer
ACH-002042,Head and Neck Squamous Cell Carcinoma
ACH-002043,Head and Neck Squamous Cell Carcinoma
ACH-002044,Head and Neck Squamous Cell Carcinoma
ACH-002045,Head and Neck Squamous Cell Carcinoma
ACH-002046,Endometrial Carcinoma
ACH-002048,Rhabdomyosarcoma
ACH-002051,Lung Neuroendocrine Tumor
ACH-002052,Lung Neuroendocrine Tumor
ACH-002055,Mature B-Cell Neoplasms
ACH-002059,B-Cell Acute Lymphoblastic Leukemia
ACH-002061,Myeloproliferative Neoplasms
ACH-002062,Mature B-Cell Neoplasms
ACH-002066,Nerve Sheath Tumor
ACH-002067,Osteosarcoma
ACH-002069,Osteosarcoma
ACH-002077,Lung Neuroendocrine Tumor
ACH-002080,Neuroblastoma
ACH-002083,Neuroblastoma
ACH-002084,Melanoma
ACH-002105,Ewing Sarcoma
ACH-002106,Ewing Sarcoma
ACH-002109,Ewing Sarcoma
ACH-002110,Ewing Sarcoma
ACH-002114,Ewing Sarcoma
ACH-002116,Ewing Sarcoma
ACH-002119,Ewing Sarcoma
ACH-002140,Ovarian Epithelial Tumor
ACH-002141,Esophagogastric Adenocarcinoma
ACH-002142,Osteosarcoma
ACH-002143,Melanoma
ACH-002150,Renal Cell Carcinoma
ACH-002156,Non-Small Cell Lung Cancer
ACH-002160,Ewing Sarcoma
ACH-002161,Esophagogastric Adenocarcinoma
ACH-002179,Invasive Breast Carcinoma
ACH-002181,Ovarian Epithelial Tumor
ACH-002183,Ovarian Epithelial Tumor
ACH-002186,Pancreatic Adenocarcinoma
ACH-002189,Renal Cell Carcinoma
ACH-002202,Esophagogastric Adenocarcinoma
ACH-002212,Head and Neck Squamous Cell Carcinoma
ACH-002214,Mature B-Cell Neoplasms
ACH-002215,Mature B-Cell Neoplasms
ACH-002228,Diffuse Glioma
ACH-002229,Diffuse Glioma
ACH-002230,Diffuse Glioma
ACH-002233,Colorectal Adenocarcinoma
ACH-002243,Esophageal Squamous Cell Carcinoma
ACH-002249,Head and Neck Squamous Cell Carcinoma
ACH-002250,Head and Neck Squamous Cell Carcinoma
ACH-002251,Head and Neck Squamous Cell Carcinoma
ACH-002257,Diffuse Glioma
ACH-002261,Neuroblastoma
ACH-002263,Esophageal Squamous Cell Carcinoma
ACH-002265,Head and Neck Squamous Cell Carcinoma
ACH-002269,Diffuse Glioma
ACH-002278,Neuroblastoma
ACH-002280,Neuroblastoma
ACH-002282,Neuroblastoma
ACH-002283,Neuroblastoma
ACH-002284,Neuroblastoma
ACH-002285,Neuroblastoma
ACH-002291,Non-Seminomatous Germ Cell Tumor
ACH-002294,Head and Neck Squamous Cell Carcinoma
ACH-002295,Head and Neck Squamous Cell Carcinoma
ACH-002296,Head and Neck Squamous Cell Carcinoma
ACH-002297,Head and Neck Squamous Cell Carcinoma
ACH-002298,Head and Neck Squamous Cell Carcinoma
ACH-002304,Diffuse Glioma
ACH-002305,Head and Neck Squamous Cell Carcinoma
ACH-002399,Invasive Breast Carcinoma
ACH-002400,Invasive Breast Carcinoma
ACH-002401,Invasive Breast Carcinoma
ACH-002446,Esophagogastric Adenocarcinoma
ACH-002458,Melanoma
ACH-002460,Melanoma
ACH-002461,Melanoma
ACH-002470,Osteosarcoma
ACH-002471,Osteosarcoma
ACH-002475,Myeloproliferative Neoplasms
ACH-002478,Mature B-Cell Neoplasms
ACH-002485,Mature B-Cell Neoplasms
ACH-002486,Ovarian Epithelial Tumor
ACH-002490,Lung Neuroendocrine Tumor
ACH-002499,Invasive Breast Carcinoma
ACH-002500,Mature B-Cell Neoplasms
ACH-002508,Melanoma
ACH-002510,Melanoma
ACH-002511,Melanoma
ACH-002512,Melanoma
ACH-002522,Non-Small Cell Lung Cancer
ACH-002523,Hepatocellular Carcinoma
ACH-002524,Ovarian Epithelial Tumor
ACH-002526,Non-Small Cell Lung Cancer
ACH-002528,Renal Cell Carcinoma
ACH-002530,Colorectal Adenocarcinoma
ACH-002531,Non-Small Cell Lung Cancer
ACH-002533,Renal Cell Carcinoma
ACH-002535,Colorectal Adenocarcinoma
ACH-002538,Colorectal Adenocarcinoma
ACH-002544,Esophagogastric Adenocarcinoma
ACH-002647,Intraductal Papillary Neoplasm of the Bile Duct
ACH-002650,Non-Small Cell Lung Cancer
ACH-002654,Colorectal Adenocarcinoma
ACH-002659,Colorectal Adenocarcinoma
ACH-002660,Colorectal Adenocarcinoma
ACH-002662,Colorectal Adenocarcinoma
ACH-002664,Colorectal Adenocarcinoma
ACH-002669,Colorectal Adenocarcinoma
ACH-002672,Pancreatic Adenocarcinoma
ACH-002677,Mature B-Cell Neoplasms
ACH-002678,Mature B-Cell Neoplasms
ACH-002680,Diffuse Glioma
ACH-002681,Diffuse Glioma
ACH-002687,Ocular Melanoma
ACH-002688,Osteosarcoma
ACH-002690,Osteosarcoma
ACH-002693,Nerve Sheath Tumor
ACH-002705,Esophagogastric Adenocarcinoma
ACH-002706,Esophagogastric Adenocarcinoma
ACH-002708,Liposarcoma
ACH-002709,Acute Myeloid Leukemia
ACH-002710,Nerve Sheath Tumor
ACH-002778,Osteosarcoma
ACH-002780,Ewing Sarcoma
ACH-002782,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-002784,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-002799,Nerve Sheath Tumor
ACH-002800,Nerve Sheath Tumor
ACH-002801,Nerve Sheath Tumor
ACH-002806,Diffuse Glioma
ACH-002834,Osteosarcoma
ACH-002847,Melanoma
ACH-002922,Neuroblastoma
ACH-002925,Ocular Melanoma
ACH-002926,Ocular Melanoma
ACH-002928,Melanoma
ACH-003012,Non-Small Cell Lung Cancer
ACH-003176,Osteosarcoma
ACH-003177,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
ACH-003180,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma
